Barangay,TOTAL,YEAR,Month,Value
Anonas,43,2022,JAN,2
Bactad East,14,2022,JAN,1
Bayaoas,22,2022,JAN,3
Bolaoen,1,2022,JAN,1
Cabaruan,1,2022,JAN,0
Cabuloan,8,2022,JAN,0
Camanang,11,2022,JAN,0
Camantiles,24,2022,JAN,5
Casantaan,2,2022,JAN,0
Catablan,20,2022,JAN,0
Cayambanan,30,2022,JAN,1
Consolacion,1,2022,JAN,0
Dilan-Paurido,9,2022,JAN,1
Labit Proper,10,2022,JAN,0
Labit West,4,2022,JAN,0
Mabanogbog,3,2022,JAN,0
Macalong,1,2022,JAN,0
Nancalobasaan,18,2022,JAN,1
Nancamaliran East,34,2022,JAN,3
Nancamaliran West,13,2022,JAN,1
Nancayasan,126,2022,JAN,6
Oltama,4,2022,JAN,0
Palina East,14,2022,JAN,1
Palina West,4,2022,JAN,1
P.T. Orata,12,2022,JAN,1
Pinmaludpod,49,2022,JAN,2
Poblacion,91,2022,JAN,4
San Jose,24,2022,JAN,4
San Vicente,85,2022,JAN,10
Sta. Lucia,9,2022,JAN,0
Sto. Domingo,5,2022,JAN,0
Sugcong,0,2022,JAN,0
Tipuso,1,2022,JAN,0
Tulong,8,2022,JAN,1
BYPASS,76,2022,JAN,7
TOTAL,777,2022,JAN,56
Anonas,41,2023,JAN,4
Bactad East,17,2023,JAN,0
Bayaoas,24,2023,JAN,2
Bolaoen,1,2023,JAN,0
Cabaruan,1,2023,JAN,0
Cabuloan,22,2023,JAN,2
Camanang,11,2023,JAN,1
Camantiles,29,2023,JAN,4
Casantaan,2,2023,JAN,0
Catablan,46,2023,JAN,6
Cayambanan,44,2023,JAN,2
Consolacion,2,2023,JAN,1
Dilan-Paurido,30,2023,JAN,3
Labit Proper,11,2023,JAN,3
Labit West,7,2023,JAN,1
Mabanogbog,2,2023,JAN,0
Macalong,2,2023,JAN,0
Nancalobasaan,16,2023,JAN,2
Nancamaliran East,42,2023,JAN,4
Nancamaliran West,22,2023,JAN,3
Nancayasan,127,2023,JAN,7
Oltama,2,2023,JAN,0
Palina East,10,2023,JAN,1
Palina West,6,2023,JAN,0
P.T. Orata,12,2023,JAN,0
Pinmaludpod,57,2023,JAN,4
Poblacion,108,2023,JAN,12
San Jose,22,2023,JAN,2
San Vicente,91,2023,JAN,3
Sta. Lucia,16,2023,JAN,3
Sto. Domingo,19,2023,JAN,2
Sugcong,3,2023,JAN,0
Tipuso,1,2023,JAN,0
Tulong,10,2023,JAN,0
BYPASS,145,2023,JAN,12
TOTAL,1001,2023,JAN,84
ANONAS,24,2024,JAN,3
BACTAD EAST,9,2024,JAN,0
BAYAOAS,26,2024,JAN,5
BOLAOEN,4,2024,JAN,1
CABARUAN,13,2024,JAN,1
CABULOAN,12,2024,JAN,0
CAMANANG,12,2024,JAN,1
CAMANTILES,37,2024,JAN,4
CASANTAAN,1,2024,JAN,0
CATABLAN,40,2024,JAN,2
CAYAMBANAN,31,2024,JAN,6
CONSOLACION,1,2024,JAN,1
DILAN-PAURIDO,24,2024,JAN,3
LABIT PROPER,8,2024,JAN,1
LABIT WEST,2,2024,JAN,0
MABANOGBOG,10,2024,JAN,2
MACALONG,0,2024,JAN,0
NANCALOBASAAN,20,2024,JAN,4
NANCAMALIRAN EAST,48,2024,JAN,5
NANCAMALIRAN WEST,14,2024,JAN,1
NANCAYASAN,137,2024,JAN,10
OLTAMA,2,2024,JAN,0
PALINA EAST,27,2024,JAN,2
PALINA WEST,20,2024,JAN,2
PT ORATA,9,2024,JAN,0
PINMALUDPOD,46,2024,JAN,3
POBLACION,99,2024,JAN,6
SAN JOSE,23,2024,JAN,3
SAN VICENTE,104,2024,JAN,10
STA. LUCIA,29,2024,JAN,0
STO. DOMINGO,21,2024,JAN,2
SUGCONG,3,2024,JAN,0
TIPUSO,1,2024,JAN,0
TULONG,10,2024,JAN,0
BYPASS-NANCAYASAN,107,2024,JAN,15
TOTAL,974,2024,JAN,93
ANONAS,30,2025,JAN,4
BACTAD EAST,10,2025,JAN,0
BAYAOAS,16,2025,JAN,0
BOLAOEN,1,2025,JAN,0
CABARUAN,5,2025,JAN,0
CABULOAN,30,2025,JAN,4
CAMANANG,13,2025,JAN,0
CAMANTILES,27,2025,JAN,4
CASANTAAN,1,2025,JAN,0
CATABLAN,21,2025,JAN,0
CAYAMBANAN,25,2025,JAN,2
CONSOLACION,1,2025,JAN,0
DILAN-PAURIDO,17,2025,JAN,0
LABIT PROPER,20,2025,JAN,2
LABIT WEST,1,2025,JAN,0
MABANOGBOG,14,2025,JAN,2
MACALONG,1,2025,JAN,0
NANCALOBASAAN,19,2025,JAN,1
NANCAMALIRAN EAST,44,2025,JAN,2
NANCAMALIRAN WEST,19,2025,JAN,2
NANCAYASAN,114,2025,JAN,11
OLTAMA,2,2025,JAN,0
PALINA EAST,17,2025,JAN,4
PALINA WEST,3,2025,JAN,0
PT ORATA,10,2025,JAN,1
PINMALUDPOD,50,2025,JAN,3
POBLACION,110,2025,JAN,16
SAN JOSE,15,2025,JAN,0
SAN VICENTE,103,2025,JAN,6
STA. LUCIA,13,2025,JAN,1
STO. DOMINGO,18,2025,JAN,1
SUGCONG,1,2025,JAN,0
TIPUSO,1,2025,JAN,0
TULONG,7,2025,JAN,0
BYPASS,114,2025,JAN,6
TOTAL,893,2025,JAN,72
Anonas,43,2022,FEB,0
Bactad East,14,2022,FEB,2
Bayaoas,22,2022,FEB,0
Bolaoen,1,2022,FEB,0
Cabaruan,1,2022,FEB,0
Cabuloan,8,2022,FEB,0
Camanang,11,2022,FEB,0
Camantiles,24,2022,FEB,1
Casantaan,2,2022,FEB,2
Catablan,20,2022,FEB,1
Cayambanan,30,2022,FEB,2
Consolacion,1,2022,FEB,0
Dilan-Paurido,9,2022,FEB,2
Labit Proper,10,2022,FEB,0
Labit West,4,2022,FEB,0
Mabanogbog,3,2022,FEB,1
Macalong,1,2022,FEB,0
Nancalobasaan,18,2022,FEB,2
Nancamaliran East,34,2022,FEB,2
Nancamaliran West,13,2022,FEB,3
Nancayasan,126,2022,FEB,10
Oltama,4,2022,FEB,0
Palina East,14,2022,FEB,1
Palina West,4,2022,FEB,1
P.T. Orata,12,2022,FEB,0
Pinmaludpod,49,2022,FEB,4
Poblacion,91,2022,FEB,9
San Jose,24,2022,FEB,0
San Vicente,85,2022,FEB,7
Sta. Lucia,9,2022,FEB,1
Sto. Domingo,5,2022,FEB,0
Sugcong,0,2022,FEB,0
Tipuso,1,2022,FEB,0
Tulong,8,2022,FEB,1
BYPASS,76,2022,FEB,11
TOTAL,777,2022,FEB,63
Anonas,41,2023,FEB,6
Bactad East,17,2023,FEB,0
Bayaoas,24,2023,FEB,3
Bolaoen,1,2023,FEB,0
Cabaruan,1,2023,FEB,0
Cabuloan,22,2023,FEB,2
Camanang,11,2023,FEB,1
Camantiles,29,2023,FEB,5
Casantaan,2,2023,FEB,1
Catablan,46,2023,FEB,2
Cayambanan,44,2023,FEB,4
Consolacion,2,2023,FEB,1
Dilan-Paurido,30,2023,FEB,1
Labit Proper,11,2023,FEB,0
Labit West,7,2023,FEB,0
Mabanogbog,2,2023,FEB,0
Macalong,2,2023,FEB,0
Nancalobasaan,16,2023,FEB,0
Nancamaliran East,42,2023,FEB,4
Nancamaliran West,22,2023,FEB,3
Nancayasan,127,2023,FEB,7
Oltama,2,2023,FEB,0
Palina East,10,2023,FEB,1
Palina West,6,2023,FEB,0
P.T. Orata,12,2023,FEB,0
Pinmaludpod,57,2023,FEB,11
Poblacion,108,2023,FEB,10
San Jose,22,2023,FEB,3
San Vicente,91,2023,FEB,9
Sta. Lucia,16,2023,FEB,2
Sto. Domingo,19,2023,FEB,2
Sugcong,3,2023,FEB,0
Tipuso,1,2023,FEB,0
Tulong,10,2023,FEB,2
BYPASS,145,2023,FEB,9
TOTAL,1001,2023,FEB,89
ANONAS,24,2024,FEB,0
BACTAD EAST,9,2024,FEB,0
BAYAOAS,26,2024,FEB,1
BOLAOEN,4,2024,FEB,0
CABARUAN,13,2024,FEB,2
CABULOAN,12,2024,FEB,1
CAMANANG,12,2024,FEB,1
CAMANTILES,37,2024,FEB,3
CASANTAAN,1,2024,FEB,0
CATABLAN,40,2024,FEB,4
CAYAMBANAN,31,2024,FEB,1
CONSOLACION,1,2024,FEB,0
DILAN-PAURIDO,24,2024,FEB,1
LABIT PROPER,8,2024,FEB,2
LABIT WEST,2,2024,FEB,0
MABANOGBOG,10,2024,FEB,0
MACALONG,0,2024,FEB,0
NANCALOBASAAN,20,2024,FEB,4
NANCAMALIRAN EAST,48,2024,FEB,4
NANCAMALIRAN WEST,14,2024,FEB,1
NANCAYASAN,137,2024,FEB,11
OLTAMA,2,2024,FEB,0
PALINA EAST,27,2024,FEB,1
PALINA WEST,20,2024,FEB,2
PT ORATA,9,2024,FEB,1
PINMALUDPOD,46,2024,FEB,4
POBLACION,99,2024,FEB,11
SAN JOSE,23,2024,FEB,3
SAN VICENTE,104,2024,FEB,12
STA. LUCIA,29,2024,FEB,3
STO. DOMINGO,21,2024,FEB,3
SUGCONG,3,2024,FEB,0
TIPUSO,1,2024,FEB,0
TULONG,10,2024,FEB,0
BYPASS-NANCAYASAN,107,2024,FEB,12
TOTAL,974,2024,FEB,88
ANONAS,30,2025,FEB,6
BACTAD EAST,10,2025,FEB,1
BAYAOAS,16,2025,FEB,0
BOLAOEN,1,2025,FEB,0
CABARUAN,5,2025,FEB,1
CABULOAN,30,2025,FEB,4
CAMANANG,13,2025,FEB,1
CAMANTILES,27,2025,FEB,2
CASANTAAN,1,2025,FEB,0
CATABLAN,21,2025,FEB,2
CAYAMBANAN,25,2025,FEB,3
CONSOLACION,1,2025,FEB,0
DILAN-PAURIDO,17,2025,FEB,2
LABIT PROPER,20,2025,FEB,0
LABIT WEST,1,2025,FEB,0
MABANOGBOG,14,2025,FEB,1
MACALONG,1,2025,FEB,0
NANCALOBASAAN,19,2025,FEB,2
NANCAMALIRAN EAST,44,2025,FEB,5
NANCAMALIRAN WEST,19,2025,FEB,3
NANCAYASAN,114,2025,FEB,6
OLTAMA,2,2025,FEB,0
PALINA EAST,17,2025,FEB,0
PALINA WEST,3,2025,FEB,0
PT ORATA,10,2025,FEB,0
PINMALUDPOD,50,2025,FEB,3
POBLACION,110,2025,FEB,7
SAN JOSE,15,2025,FEB,0
SAN VICENTE,103,2025,FEB,11
STA. LUCIA,13,2025,FEB,2
STO. DOMINGO,18,2025,FEB,1
SUGCONG,1,2025,FEB,0
TIPUSO,1,2025,FEB,0
TULONG,7,2025,FEB,1
BYPASS,114,2025,FEB,10
TOTAL,893,2025,FEB,74
Anonas,43,2022,MAR,2
Bactad East,14,2022,MAR,1
Bayaoas,22,2022,MAR,1
Bolaoen,1,2022,MAR,0
Cabaruan,1,2022,MAR,0
Cabuloan,8,2022,MAR,1
Camanang,11,2022,MAR,1
Camantiles,24,2022,MAR,3
Casantaan,2,2022,MAR,0
Catablan,20,2022,MAR,3
Cayambanan,30,2022,MAR,3
Consolacion,1,2022,MAR,0
Dilan-Paurido,9,2022,MAR,1
Labit Proper,10,2022,MAR,1
Labit West,4,2022,MAR,1
Mabanogbog,3,2022,MAR,0
Macalong,1,2022,MAR,0
Nancalobasaan,18,2022,MAR,0
Nancamaliran East,34,2022,MAR,0
Nancamaliran West,13,2022,MAR,2
Nancayasan,126,2022,MAR,8
Oltama,4,2022,MAR,0
Palina East,14,2022,MAR,1
Palina West,4,2022,MAR,0
P.T. Orata,12,2022,MAR,0
Pinmaludpod,49,2022,MAR,7
Poblacion,91,2022,MAR,9
San Jose,24,2022,MAR,3
San Vicente,85,2022,MAR,3
Sta. Lucia,9,2022,MAR,0
Sto. Domingo,5,2022,MAR,2
Sugcong,0,2022,MAR,0
Tipuso,1,2022,MAR,0
Tulong,8,2022,MAR,1
BYPASS,76,2022,MAR,4
TOTAL,777,2022,MAR,58
Anonas,41,2023,MAR,4
Bactad East,17,2023,MAR,4
Bayaoas,24,2023,MAR,4
Bolaoen,1,2023,MAR,0
Cabaruan,1,2023,MAR,0
Cabuloan,22,2023,MAR,2
Camanang,11,2023,MAR,2
Camantiles,29,2023,MAR,1
Casantaan,2,2023,MAR,1
Catablan,46,2023,MAR,4
Cayambanan,44,2023,MAR,4
Consolacion,2,2023,MAR,0
Dilan-Paurido,30,2023,MAR,2
Labit Proper,11,2023,MAR,1
Labit West,7,2023,MAR,2
Mabanogbog,2,2023,MAR,0
Macalong,2,2023,MAR,0
Nancalobasaan,16,2023,MAR,3
Nancamaliran East,42,2023,MAR,5
Nancamaliran West,22,2023,MAR,0
Nancayasan,127,2023,MAR,12
Oltama,2,2023,MAR,0
Palina East,10,2023,MAR,0
Palina West,6,2023,MAR,0
P.T. Orata,12,2023,MAR,0
Pinmaludpod,57,2023,MAR,2
Poblacion,108,2023,MAR,10
San Jose,22,2023,MAR,3
San Vicente,91,2023,MAR,8
Sta. Lucia,16,2023,MAR,2
Sto. Domingo,19,2023,MAR,2
Sugcong,3,2023,MAR,0
Tipuso,1,2023,MAR,1
Tulong,10,2023,MAR,0
BYPASS,145,2023,MAR,13
TOTAL,1001,2023,MAR,92
ANONAS,24,2024,MAR,5
BACTAD EAST,9,2024,MAR,0
BAYAOAS,26,2024,MAR,3
BOLAOEN,4,2024,MAR,1
CABARUAN,13,2024,MAR,0
CABULOAN,12,2024,MAR,2
CAMANANG,12,2024,MAR,1
CAMANTILES,37,2024,MAR,2
CASANTAAN,1,2024,MAR,0
CATABLAN,40,2024,MAR,6
CAYAMBANAN,31,2024,MAR,5
CONSOLACION,1,2024,MAR,0
DILAN-PAURIDO,24,2024,MAR,3
LABIT PROPER,8,2024,MAR,0
LABIT WEST,2,2024,MAR,0
MABANOGBOG,10,2024,MAR,2
MACALONG,0,2024,MAR,0
NANCALOBASAAN,20,2024,MAR,3
NANCAMALIRAN EAST,48,2024,MAR,4
NANCAMALIRAN WEST,14,2024,MAR,2
NANCAYASAN,137,2024,MAR,16
OLTAMA,2,2024,MAR,0
PALINA EAST,27,2024,MAR,5
PALINA WEST,20,2024,MAR,1
PT ORATA,9,2024,MAR,0
PINMALUDPOD,46,2024,MAR,2
POBLACION,99,2024,MAR,4
SAN JOSE,23,2024,MAR,1
SAN VICENTE,104,2024,MAR,10
STA. LUCIA,29,2024,MAR,4
STO. DOMINGO,21,2024,MAR,2
SUGCONG,3,2024,MAR,1
TIPUSO,1,2024,MAR,0
TULONG,10,2024,MAR,2
BYPASS-NANCAYASAN,107,2024,MAR,12
TOTAL,974,2024,MAR,99
ANONAS,30,2025,MAR,3
BACTAD EAST,10,2025,MAR,1
BAYAOAS,16,2025,MAR,1
BOLAOEN,1,2025,MAR,0
CABARUAN,5,2025,MAR,1
CABULOAN,30,2025,MAR,2
CAMANANG,13,2025,MAR,1
CAMANTILES,27,2025,MAR,3
CASANTAAN,1,2025,MAR,0
CATABLAN,21,2025,MAR,2
CAYAMBANAN,25,2025,MAR,0
CONSOLACION,1,2025,MAR,0
DILAN-PAURIDO,17,2025,MAR,1
LABIT PROPER,20,2025,MAR,0
LABIT WEST,1,2025,MAR,0
MABANOGBOG,14,2025,MAR,1
MACALONG,1,2025,MAR,0
NANCALOBASAAN,19,2025,MAR,2
NANCAMALIRAN EAST,44,2025,MAR,1
NANCAMALIRAN WEST,19,2025,MAR,1
NANCAYASAN,114,2025,MAR,10
OLTAMA,2,2025,MAR,0
PALINA EAST,17,2025,MAR,2
PALINA WEST,3,2025,MAR,0
PT ORATA,10,2025,MAR,2
PINMALUDPOD,50,2025,MAR,3
POBLACION,110,2025,MAR,7
SAN JOSE,15,2025,MAR,1
SAN VICENTE,103,2025,MAR,9
STA. LUCIA,13,2025,MAR,3
STO. DOMINGO,18,2025,MAR,3
SUGCONG,1,2025,MAR,0
TIPUSO,1,2025,MAR,0
TULONG,7,2025,MAR,0
BYPASS,114,2025,MAR,14
TOTAL,893,2025,MAR,74
Anonas,43,2022,APR,3
Bactad East,14,2022,APR,3
Bayaoas,22,2022,APR,1
Bolaoen,1,2022,APR,0
Cabaruan,1,2022,APR,1
Cabuloan,8,2022,APR,0
Camanang,11,2022,APR,1
Camantiles,24,2022,APR,0
Casantaan,2,2022,APR,0
Catablan,20,2022,APR,1
Cayambanan,30,2022,APR,0
Consolacion,1,2022,APR,0
Dilan-Paurido,9,2022,APR,0
Labit Proper,10,2022,APR,2
Labit West,4,2022,APR,0
Mabanogbog,3,2022,APR,1
Macalong,1,2022,APR,1
Nancalobasaan,18,2022,APR,2
Nancamaliran East,34,2022,APR,1
Nancamaliran West,13,2022,APR,0
Nancayasan,126,2022,APR,10
Oltama,4,2022,APR,0
Palina East,14,2022,APR,1
Palina West,4,2022,APR,0
P.T. Orata,12,2022,APR,0
Pinmaludpod,49,2022,APR,3
Poblacion,91,2022,APR,7
San Jose,24,2022,APR,1
San Vicente,85,2022,APR,5
Sta. Lucia,9,2022,APR,2
Sto. Domingo,5,2022,APR,0
Sugcong,0,2022,APR,0
Tipuso,1,2022,APR,0
Tulong,8,2022,APR,0
BYPASS,76,2022,APR,8
TOTAL,777,2022,APR,54
Anonas,41,2023,APR,4
Bactad East,17,2023,APR,3
Bayaoas,24,2023,APR,0
Bolaoen,1,2023,APR,0
Cabaruan,1,2023,APR,0
Cabuloan,22,2023,APR,2
Camanang,11,2023,APR,1
Camantiles,29,2023,APR,1
Casantaan,2,2023,APR,0
Catablan,46,2023,APR,6
Cayambanan,44,2023,APR,3
Consolacion,2,2023,APR,0
Dilan-Paurido,30,2023,APR,3
Labit Proper,11,2023,APR,1
Labit West,7,2023,APR,0
Mabanogbog,2,2023,APR,0
Macalong,2,2023,APR,0
Nancalobasaan,16,2023,APR,3
Nancamaliran East,42,2023,APR,6
Nancamaliran West,22,2023,APR,1
Nancayasan,127,2023,APR,18
Oltama,2,2023,APR,0
Palina East,10,2023,APR,0
Palina West,6,2023,APR,0
P.T. Orata,12,2023,APR,4
Pinmaludpod,57,2023,APR,5
Poblacion,108,2023,APR,8
San Jose,22,2023,APR,3
San Vicente,91,2023,APR,8
Sta. Lucia,16,2023,APR,2
Sto. Domingo,19,2023,APR,0
Sugcong,3,2023,APR,1
Tipuso,1,2023,APR,0
Tulong,10,2023,APR,0
BYPASS,145,2023,APR,14
TOTAL,1001,2023,APR,97
ANONAS,24,2024,APR,1
BACTAD EAST,9,2024,APR,1
BAYAOAS,26,2024,APR,2
BOLAOEN,4,2024,APR,1
CABARUAN,13,2024,APR,1
CABULOAN,12,2024,APR,0
CAMANANG,12,2024,APR,0
CAMANTILES,37,2024,APR,5
CASANTAAN,1,2024,APR,1
CATABLAN,40,2024,APR,5
CAYAMBANAN,31,2024,APR,0
CONSOLACION,1,2024,APR,0
DILAN-PAURIDO,24,2024,APR,0
LABIT PROPER,8,2024,APR,1
LABIT WEST,2,2024,APR,1
MABANOGBOG,10,2024,APR,0
MACALONG,0,2024,APR,0
NANCALOBASAAN,20,2024,APR,1
NANCAMALIRAN EAST,48,2024,APR,2
NANCAMALIRAN WEST,14,2024,APR,2
NANCAYASAN,137,2024,APR,14
OLTAMA,2,2024,APR,0
PALINA EAST,27,2024,APR,2
PALINA WEST,20,2024,APR,3
PT ORATA,9,2024,APR,1
PINMALUDPOD,46,2024,APR,1
POBLACION,99,2024,APR,6
SAN JOSE,23,2024,APR,1
SAN VICENTE,104,2024,APR,8
STA. LUCIA,29,2024,APR,7
STO. DOMINGO,21,2024,APR,2
SUGCONG,3,2024,APR,0
TIPUSO,1,2024,APR,0
TULONG,10,2024,APR,0
BYPASS-NANCAYASAN,107,2024,APR,6
TOTAL,974,2024,APR,75
ANONAS,30,2025,APR,1
BACTAD EAST,10,2025,APR,0
BAYAOAS,16,2025,APR,2
BOLAOEN,1,2025,APR,0
CABARUAN,5,2025,APR,0
CABULOAN,30,2025,APR,2
CAMANANG,13,2025,APR,2
CAMANTILES,27,2025,APR,3
CASANTAAN,1,2025,APR,0
CATABLAN,21,2025,APR,2
CAYAMBANAN,25,2025,APR,4
CONSOLACION,1,2025,APR,0
DILAN-PAURIDO,17,2025,APR,1
LABIT PROPER,20,2025,APR,3
LABIT WEST,1,2025,APR,0
MABANOGBOG,14,2025,APR,4
MACALONG,1,2025,APR,0
NANCALOBASAAN,19,2025,APR,2
NANCAMALIRAN EAST,44,2025,APR,7
NANCAMALIRAN WEST,19,2025,APR,1
NANCAYASAN,114,2025,APR,10
OLTAMA,2,2025,APR,1
PALINA EAST,17,2025,APR,2
PALINA WEST,3,2025,APR,0
PT ORATA,10,2025,APR,0
PINMALUDPOD,50,2025,APR,2
POBLACION,110,2025,APR,10
SAN JOSE,15,2025,APR,3
SAN VICENTE,103,2025,APR,9
STA. LUCIA,13,2025,APR,0
STO. DOMINGO,18,2025,APR,2
SUGCONG,1,2025,APR,0
TIPUSO,1,2025,APR,0
TULONG,7,2025,APR,2
