Barangay,TOTAL,YEAR,Month,Value
TOTAL,893,2025,AUG,75
Anonas,43,2022,SEP,5
Bactad East,14,2022,SEP,1
Bayaoas,22,2022,SEP,4
Bolaoen,1,2022,SEP,0
Cabaruan,1,2022,SEP,0
Cabuloan,8,2022,SEP,1
Camanang,11,2022,SEP,2
Camantiles,24,2022,SEP,1
Casantaan,2,2022,SEP,0
Catablan,20,2022,SEP,0
Cayambanan,30,2022,SEP,1
Consolacion,1,2022,SEP,0
Dilan-Paurido,9,2022,SEP,0
Labit Proper,10,2022,SEP,0
Labit West,4,2022,SEP,0
Mabanogbog,3,2022,SEP,1
Macalong,1,2022,SEP,0
Nancalobasaan,18,2022,SEP,0
Nancamaliran East,34,2022,SEP,4
Nancamaliran West,13,2022,SEP,0
Nancayasan,126,2022,SEP,9
Oltama,4,2022,SEP,0
Palina East,14,2022,SEP,0
Palina West,4,2022,SEP,0
P.T. Orata,12,2022,SEP,1
Pinmaludpod,49,2022,SEP,1
Poblacion,91,2022,SEP,9
San Jose,24,2022,SEP,1
San Vicente,85,2022,SEP,4
Sta. Lucia,9,2022,SEP,0
Sto. Domingo,5,2022,SEP,0
Sugcong,0,2022,SEP,0
Tipuso,1,2022,SEP,0
Tulong,8,2022,SEP,0
BYPASS,76,2022,SEP,5
TOTAL,777,2022,SEP,50
Anonas,41,2023,SEP,2
Bactad East,17,2023,SEP,1
Bayaoas,24,2023,SEP,1
Bolaoen,1,2023,SEP,1
Cabaruan,1,2023,SEP,0
Cabuloan,22,2023,SEP,1
Camanang,11,2023,SEP,1
Camantiles,29,2023,SEP,4
Casantaan,2,2023,SEP,0
Catablan,46,2023,SEP,6
Cayambanan,44,2023,SEP,5
Consolacion,2,2023,SEP,0
Dilan-Paurido,30,2023,SEP,2
Labit Proper,11,2023,SEP,0
Labit West,7,2023,SEP,0
Mabanogbog,2,2023,SEP,0
Macalong,2,2023,SEP,0
Nancalobasaan,16,2023,SEP,0
Nancamaliran East,42,2023,SEP,2
Nancamaliran West,22,2023,SEP,2
Nancayasan,127,2023,SEP,9
Oltama,2,2023,SEP,0
Palina East,10,2023,SEP,1
Palina West,6,2023,SEP,0
P.T. Orata,12,2023,SEP,1
Pinmaludpod,57,2023,SEP,8
Poblacion,108,2023,SEP,7
San Jose,22,2023,SEP,0
San Vicente,91,2023,SEP,6
Sta. Lucia,16,2023,SEP,0
Sto. Domingo,19,2023,SEP,2
Sugcong,3,2023,SEP,0
Tipuso,1,2023,SEP,0
Tulong,10,2023,SEP,1
BYPASS,145,2023,SEP,13
TOTAL,1001,2023,SEP,76
ANONAS,24,2024,SEP,3
BACTAD EAST,9,2024,SEP,0
BAYAOAS,26,2024,SEP,2
BOLAOEN,4,2024,SEP,1
CABARUAN,13,2024,SEP,3
CABULOAN,12,2024,SEP,2
CAMANANG,12,2024,SEP,2
CAMANTILES,37,2024,SEP,3
CASANTAAN,1,2024,SEP,0
CATABLAN,40,2024,SEP,1
CAYAMBANAN,31,2024,SEP,1
CONSOLACION,1,2024,SEP,0
DILAN-PAURIDO,24,2024,SEP,0
LABIT PROPER,8,2024,SEP,0
LABIT WEST,2,2024,SEP,0
MABANOGBOG,10,2024,SEP,1
MACALONG,0,2024,SEP,0
NANCALOBASAAN,20,2024,SEP,0
NANCAMALIRAN EAST,48,2024,SEP,1
NANCAMALIRAN WEST,14,2024,SEP,1
NANCAYASAN,137,2024,SEP,9
OLTAMA,2,2024,SEP,1
PALINA EAST,27,2024,SEP,1
PALINA WEST,20,2024,SEP,2
PT ORATA,9,2024,SEP,1
PINMALUDPOD,46,2024,SEP,2
POBLACION,99,2024,SEP,14
SAN JOSE,23,2024,SEP,2
SAN VICENTE,104,2024,SEP,6
STA. LUCIA,29,2024,SEP,2
STO. DOMINGO,21,2024,SEP,1
SUGCONG,3,2024,SEP,0
TIPUSO,1,2024,SEP,0
TULONG,10,2024,SEP,2
BYPASS-NANCAYASAN,107,2024,SEP,5
TOTAL,974,2024,SEP,69
ANONAS,30,2025,SEP,4
BACTAD EAST,10,2025,SEP,0
BAYAOAS,16,2025,SEP,1
BOLAOEN,1,2025,SEP,1
CABARUAN,5,2025,SEP,1
CABULOAN,30,2025,SEP,0
CAMANANG,13,2025,SEP,1
CAMANTILES,27,2025,SEP,3
CASANTAAN,1,2025,SEP,0
CATABLAN,21,2025,SEP,2
CAYAMBANAN,25,2025,SEP,2
CONSOLACION,1,2025,SEP,0
DILAN-PAURIDO,17,2025,SEP,1
LABIT PROPER,20,2025,SEP,2
LABIT WEST,1,2025,SEP,0
MABANOGBOG,14,2025,SEP,1
MACALONG,1,2025,SEP,0
NANCALOBASAAN,19,2025,SEP,5
NANCAMALIRAN EAST,44,2025,SEP,5
NANCAMALIRAN WEST,19,2025,SEP,1
NANCAYASAN,114,2025,SEP,5
OLTAMA,2,2025,SEP,0
PALINA EAST,17,2025,SEP,0
PALINA WEST,3,2025,SEP,0
PT ORATA,10,2025,SEP,0
PINMALUDPOD,50,2025,SEP,4
POBLACION,110,2025,SEP,10
SAN JOSE,15,2025,SEP,1
SAN VICENTE,103,2025,SEP,20
STA. LUCIA,13,2025,SEP,0
STO. DOMINGO,18,2025,SEP,1
SUGCONG,1,2025,SEP,0
TIPUSO,1,2025,SEP,0
TULONG,7,2025,SEP,0
BYPASS,114,2025,SEP,13
TOTAL,893,2025,SEP,84
Anonas,43,2022,OCT,3
Bactad East,14,2022,OCT,2
Bayaoas,22,2022,OCT,2
Bolaoen,1,2022,OCT,0
Cabaruan,1,2022,OCT,0
Cabuloan,8,2022,OCT,1
Camanang,11,2022,OCT,4
Camantiles,24,2022,OCT,2
Casantaan,2,2022,OCT,0
Catablan,20,2022,OCT,2
Cayambanan,30,2022,OCT,6
Consolacion,1,2022,OCT,1
Dilan-Paurido,9,2022,OCT,1
Labit Proper,10,2022,OCT,1
Labit West,4,2022,OCT,1
Mabanogbog,3,2022,OCT,0
Macalong,1,2022,OCT,0
Nancalobasaan,18,2022,OCT,2
Nancamaliran East,34,2022,OCT,2
Nancamaliran West,13,2022,OCT,0
Nancayasan,126,2022,OCT,12
Oltama,4,2022,OCT,0
Palina East,14,2022,OCT,3
Palina West,4,2022,OCT,0
P.T. Orata,12,2022,OCT,0
Pinmaludpod,49,2022,OCT,5
Poblacion,91,2022,OCT,3
San Jose,24,2022,OCT,2
San Vicente,85,2022,OCT,8
Sta. Lucia,9,2022,OCT,2
Sto. Domingo,5,2022,OCT,1
Sugcong,0,2022,OCT,0
Tipuso,1,2022,OCT,0
Tulong,8,2022,OCT,1
BYPASS,76,2022,OCT,10
TOTAL,777,2022,OCT,77
Anonas,41,2023,OCT,3
Bactad East,17,2023,OCT,0
Bayaoas,24,2023,OCT,2
Bolaoen,1,2023,OCT,0
Cabaruan,1,2023,OCT,0
Cabuloan,22,2023,OCT,4
Camanang,11,2023,OCT,3
Camantiles,29,2023,OCT,2
Casantaan,2,2023,OCT,0
Catablan,46,2023,OCT,1
Cayambanan,44,2023,OCT,3
Consolacion,2,2023,OCT,0
Dilan-Paurido,30,2023,OCT,1
Labit Proper,11,2023,OCT,1
Labit West,7,2023,OCT,2
Mabanogbog,2,2023,OCT,0
Macalong,2,2023,OCT,0
Nancalobasaan,16,2023,OCT,2
Nancamaliran East,42,2023,OCT,5
Nancamaliran West,22,2023,OCT,4
Nancayasan,127,2023,OCT,7
Oltama,2,2023,OCT,1
Palina East,10,2023,OCT,2
Palina West,6,2023,OCT,0
P.T. Orata,12,2023,OCT,3
Pinmaludpod,57,2023,OCT,6
Poblacion,108,2023,OCT,14
San Jose,22,2023,OCT,3
San Vicente,91,2023,OCT,4
Sta. Lucia,16,2023,OCT,1
Sto. Domingo,19,2023,OCT,2
Sugcong,3,2023,OCT,1
Tipuso,1,2023,OCT,0
Tulong,10,2023,OCT,0
BYPASS,145,2023,OCT,17
TOTAL,1001,2023,OCT,94
ANONAS,24,2024,OCT,1
BACTAD EAST,9,2024,OCT,2
BAYAOAS,26,2024,OCT,2
BOLAOEN,4,2024,OCT,0
CABARUAN,13,2024,OCT,0
CABULOAN,12,2024,OCT,2
CAMANANG,12,2024,OCT,1
CAMANTILES,37,2024,OCT,1
CASANTAAN,1,2024,OCT,0
CATABLAN,40,2024,OCT,1
CAYAMBANAN,31,2024,OCT,5
CONSOLACION,1,2024,OCT,0
DILAN-PAURIDO,24,2024,OCT,2
LABIT PROPER,8,2024,OCT,0
LABIT WEST,2,2024,OCT,1
MABANOGBOG,10,2024,OCT,0
MACALONG,0,2024,OCT,0
NANCALOBASAAN,20,2024,OCT,1
NANCAMALIRAN EAST,48,2024,OCT,3
NANCAMALIRAN WEST,14,2024,OCT,2
NANCAYASAN,137,2024,OCT,12
OLTAMA,2,2024,OCT,0
PALINA EAST,27,2024,OCT,5
PALINA WEST,20,2024,OCT,1
PT ORATA,9,2024,OCT,0
PINMALUDPOD,46,2024,OCT,5
POBLACION,99,2024,OCT,10
SAN JOSE,23,2024,OCT,3
SAN VICENTE,104,2024,OCT,8
STA. LUCIA,29,2024,OCT,1
STO. DOMINGO,21,2024,OCT,3
SUGCONG,3,2024,OCT,0
TIPUSO,1,2024,OCT,0
TULONG,10,2024,OCT,0
BYPASS-NANCAYASAN,107,2024,OCT,7
TOTAL,974,2024,OCT,79
ANONAS,30,2025,OCT,2
BACTAD EAST,10,2025,OCT,1
BAYAOAS,16,2025,OCT,0
BOLAOEN,1,2025,OCT,0
CABARUAN,5,2025,OCT,0
CABULOAN,30,2025,OCT,3
CAMANANG,13,2025,OCT,3
CAMANTILES,27,2025,OCT,3
CASANTAAN,1,2025,OCT,0
CATABLAN,21,2025,OCT,3
CAYAMBANAN,25,2025,OCT,1
CONSOLACION,1,2025,OCT,0
DILAN-PAURIDO,17,2025,OCT,3
LABIT PROPER,20,2025,OCT,2
LABIT WEST,1,2025,OCT,0
MABANOGBOG,14,2025,OCT,0
MACALONG,1,2025,OCT,0
NANCALOBASAAN,19,2025,OCT,0
NANCAMALIRAN EAST,44,2025,OCT,2
NANCAMALIRAN WEST,19,2025,OCT,1
NANCAYASAN,114,2025,OCT,12
OLTAMA,2,2025,OCT,0
PALINA EAST,17,2025,OCT,0
PALINA WEST,3,2025,OCT,0
PT ORATA,10,2025,OCT,2
PINMALUDPOD,50,2025,OCT,4
POBLACION,110,2025,OCT,8
SAN JOSE,15,2025,OCT,0
SAN VICENTE,103,2025,OCT,7
STA. LUCIA,13,2025,OCT,1
STO. DOMINGO,18,2025,OCT,0
SUGCONG,1,2025,OCT,0
TIPUSO,1,2025,OCT,0
TULONG,7,2025,OCT,0
BYPASS,114,2025,OCT,3
TOTAL,893,2025,OCT,61
Anonas,43,2022,NOV,3
Bactad East,14,2022,NOV,1
Bayaoas,22,2022,NOV,1
Bolaoen,1,2022,NOV,0
Cabaruan,1,2022,NOV,0
Cabuloan,8,2022,NOV,1
Camanang,11,2022,NOV,0
Camantiles,24,2022,NOV,2
Casantaan,2,2022,NOV,0
Catablan,20,2022,NOV,1
Cayambanan,30,2022,NOV,3
Consolacion,1,2022,NOV,0
Dilan-Paurido,9,2022,NOV,1
Labit Proper,10,2022,NOV,3
Labit West,4,2022,NOV,2
Mabanogbog,3,2022,NOV,0
Macalong,1,2022,NOV,0
Nancalobasaan,18,2022,NOV,3
Nancamaliran East,34,2022,NOV,6
Nancamaliran West,13,2022,NOV,0
Nancayasan,126,2022,NOV,12
Oltama,4,2022,NOV,1
Palina East,14,2022,NOV,2
Palina West,4,2022,NOV,1
P.T. Orata,12,2022,NOV,0
Pinmaludpod,49,2022,NOV,5
Poblacion,91,2022,NOV,9
San Jose,24,2022,NOV,0
San Vicente,85,2022,NOV,13
Sta. Lucia,9,2022,NOV,1
Sto. Domingo,5,2022,NOV,0
Sugcong,0,2022,NOV,0
Tipuso,1,2022,NOV,0
Tulong,8,2022,NOV,1
BYPASS,76,2022,NOV,8
TOTAL,777,2022,NOV,80
Anonas,41,2023,NOV,4
Bactad East,17,2023,NOV,1
Bayaoas,24,2023,NOV,1
Bolaoen,1,2023,NOV,0
Cabaruan,1,2023,NOV,0
Cabuloan,22,2023,NOV,2
Camanang,11,2023,NOV,0
Camantiles,29,2023,NOV,4
Casantaan,2,2023,NOV,0
Catablan,46,2023,NOV,5
Cayambanan,44,2023,NOV,2
Consolacion,2,2023,NOV,0
Dilan-Paurido,30,2023,NOV,7
Labit Proper,11,2023,NOV,0
Labit West,7,2023,NOV,1
Mabanogbog,2,2023,NOV,0
Macalong,2,2023,NOV,1
Nancalobasaan,16,2023,NOV,0
Nancamaliran East,42,2023,NOV,5
Nancamaliran West,22,2023,NOV,2
Nancayasan,127,2023,NOV,9
Oltama,2,2023,NOV,0
Palina East,10,2023,NOV,2
Palina West,6,2023,NOV,0
P.T. Orata,12,2023,NOV,1
Pinmaludpod,57,2023,NOV,1
Poblacion,108,2023,NOV,4
San Jose,22,2023,NOV,1
San Vicente,91,2023,NOV,8
Sta. Lucia,16,2023,NOV,1
Sto. Domingo,19,2023,NOV,0
Sugcong,3,2023,NOV,0
Tipuso,1,2023,NOV,0
Tulong,10,2023,NOV,1
BYPASS,145,2023,NOV,13
TOTAL,1001,2023,NOV,76
ANONAS,24,2024,NOV,2
BACTAD EAST,9,2024,NOV,3
BAYAOAS,26,2024,NOV,1
BOLAOEN,4,2024,NOV,0
CABARUAN,13,2024,NOV,1
CABULOAN,12,2024,NOV,0
CAMANANG,12,2024,NOV,0
CAMANTILES,37,2024,NOV,1
CASANTAAN,1,2024,NOV,0
CATABLAN,40,2024,NOV,1
CAYAMBANAN,31,2024,NOV,6
CONSOLACION,1,2024,NOV,0
DILAN-PAURIDO,24,2024,NOV,3
LABIT PROPER,8,2024,NOV,0
LABIT WEST,2,2024,NOV,0
MABANOGBOG,10,2024,NOV,1
MACALONG,0,2024,NOV,0
NANCALOBASAAN,20,2024,NOV,0
NANCAMALIRAN EAST,48,2024,NOV,3
NANCAMALIRAN WEST,14,2024,NOV,1
NANCAYASAN,137,2024,NOV,11
OLTAMA,2,2024,NOV,0
PALINA EAST,27,2024,NOV,3
PALINA WEST,20,2024,NOV,0
PT ORATA,9,2024,NOV,1
PINMALUDPOD,46,2024,NOV,5
POBLACION,99,2024,NOV,9
SAN JOSE,23,2024,NOV,2
SAN VICENTE,104,2024,NOV,10
STA. LUCIA,29,2024,NOV,3
STO. DOMINGO,21,2024,NOV,1
SUGCONG,3,2024,NOV,0
TIPUSO,1,2024,NOV,0
TULONG,10,2024,NOV,1
BYPASS-NANCAYASAN,107,2024,NOV,13
TOTAL,974,2024,NOV,82
ANONAS,30,2025,NOV,1
BACTAD EAST,10,2025,NOV,3
BAYAOAS,16,2025,NOV,2
BOLAOEN,1,2025,NOV,0
CABARUAN,5,2025,NOV,0
CABULOAN,30,2025,NOV,3
CAMANANG,13,2025,NOV,0
CAMANTILES,27,2025,NOV,1
CASANTAAN,1,2025,NOV,0
CATABLAN,21,2025,NOV,3
CAYAMBANAN,25,2025,NOV,1
CONSOLACION,1,2025,NOV,0
DILAN-PAURIDO,17,2025,NOV,1
LABIT PROPER,20,2025,NOV,1
LABIT WEST,1,2025,NOV,1
MABANOGBOG,14,2025,NOV,2
MACALONG,1,2025,NOV,0
NANCALOBASAAN,19,2025,NOV,1
NANCAMALIRAN EAST,44,2025,NOV,3
NANCAMALIRAN WEST,19,2025,NOV,0
NANCAYASAN,114,2025,NOV,7
OLTAMA,2,2025,NOV,0
PALINA EAST,17,2025,NOV,3
PALINA WEST,3,2025,NOV,2
PT ORATA,10,2025,NOV,0
PINMALUDPOD,50,2025,NOV,7
POBLACION,110,2025,NOV,14
SAN JOSE,15,2025,NOV,0
SAN VICENTE,103,2025,NOV,6
STA. LUCIA,13,2025,NOV,2
STO. DOMINGO,18,2025,NOV,2
SUGCONG,1,2025,NOV,0
TIPUSO,1,2025,NOV,0
TULONG,7,2025,NOV,0
BYPASS,114,2025,NOV,7
TOTAL,893,2025,NOV,73
Anonas,43,2022,DEC,6
Bactad East,14,2022,DEC,2
Bayaoas,22,2022,DEC,4
Bolaoen,1,2022,DEC,0
Cabaruan,1,2022,DEC,0
Cabuloan,8,2022,DEC,1
Camanang,11,2022,DEC,0
Camantiles,24,2022,DEC,2
Casantaan,2,2022,DEC,0
Catablan,20,2022,DEC,2
Cayambanan,30,2022,DEC,1
Consolacion,1,2022,DEC,0
Dilan-Paurido,9,2022,DEC,0
Labit Proper,10,2022,DEC,0
Labit West,4,2022,DEC,0
Mabanogbog,3,2022,DEC,0
Macalong,1,2022,DEC,0
Nancalobasaan,18,2022,DEC,1
Nancamaliran East,34,2022,DEC,9
Nancamaliran West,13,2022,DEC,2
Nancayasan,126,2022,DEC,14
Oltama,4,2022,DEC,2
Palina East,14,2022,DEC,1
Palina West,4,2022,DEC,0
P.T. Orata,12,2022,DEC,3
Pinmaludpod,49,2022,DEC,7
Poblacion,91,2022,DEC,11
San Jose,24,2022,DEC,4
San Vicente,85,2022,DEC,9
Sta. Lucia,9,2022,DEC,1
Sto. Domingo,5,2022,DEC,0
Sugcong,0,2022,DEC,0
Tipuso,1,2022,DEC,1
Tulong,8,2022,DEC,0
BYPASS,76,2022,DEC,7
TOTAL,777,2022,DEC,90
Anonas,41,2023,DEC,3
Bactad East,17,2023,DEC,1
Bayaoas,24,2023,DEC,4
Bolaoen,1,2023,DEC,0
Cabaruan,1,2023,DEC,0
Cabuloan,22,2023,DEC,2
Camanang,11,2023,DEC,0
Camantiles,29,2023,DEC,3
Casantaan,2,2023,DEC,0
Catablan,46,2023,DEC,5
Cayambanan,44,2023,DEC,2
Consolacion,2,2023,DEC,0
Dilan-Paurido,30,2023,DEC,2
Labit Proper,11,2023,DEC,3
Labit West,7,2023,DEC,1
Mabanogbog,2,2023,DEC,1
Macalong,2,2023,DEC,0
Nancalobasaan,16,2023,DEC,2
Nancamaliran East,42,2023,DEC,4
Nancamaliran West,22,2023,DEC,2
Nancayasan,127,2023,DEC,19
Oltama,2,2023,DEC,0
Palina East,10,2023,DEC,2
Palina West,6,2023,DEC,2
P.T. Orata,12,2023,DEC,1
Pinmaludpod,57,2023,DEC,5
Poblacion,108,2023,DEC,8
San Jose,22,2023,DEC,3
San Vicente,91,2023,DEC,12
Sta. Lucia,16,2023,DEC,2
Sto. Domingo,19,2023,DEC,2
Sugcong,3,2023,DEC,1
Tipuso,1,2023,DEC,0
Tulong,10,2023,DEC,1
BYPASS,145,2023,DEC,14
TOTAL,1001,2023,DEC,107
ANONAS,24,2024,DEC,4
BACTAD EAST,9,2024,DEC,1
BAYAOAS,26,2024,DEC,3
BOLAOEN,4,2024,DEC,0
CABARUAN,13,2024,DEC,1
CABULOAN,12,2024,DEC,1
CAMANANG,12,2024,DEC,1
CAMANTILES,37,2024,DEC,5
CASANTAAN,1,2024,DEC,0
CATABLAN,40,2024,DEC,6
CAYAMBANAN,31,2024,DEC,1
CONSOLACION,1,2024,DEC,0
DILAN-PAURIDO,24,2024,DEC,2
LABIT PROPER,8,2024,DEC,1
LABIT WEST,2,2024,DEC,0
MABANOGBOG,10,2024,DEC,2
MACALONG,0,2024,DEC,0
NANCALOBASAAN,20,2024,DEC,0
NANCAMALIRAN EAST,48,2024,DEC,5
NANCAMALIRAN WEST,14,2024,DEC,1
NANCAYASAN,137,2024,DEC,12
OLTAMA,2,2024,DEC,0
PALINA EAST,27,2024,DEC,1
PALINA WEST,20,2024,DEC,2
PT ORATA,9,2024,DEC,3
PINMALUDPOD,46,2024,DEC,2
POBLACION,99,2024,DEC,9
SAN JOSE,23,2024,DEC,4
SAN VICENTE,104,2024,DEC,4
STA. LUCIA,29,2024,DEC,4
STO. DOMINGO,21,2024,DEC,2
SUGCONG,3,2024,DEC,1
TIPUSO,1,2024,DEC,0
TULONG,10,2024,DEC,1
BYPASS-NANCAYASAN,107,2024,DEC,1
TOTAL,974,2024,DEC,80
ANONAS,30,2025,DEC,3
BACTAD EAST,10,2025,DEC,2
BAYAOAS,16,2025,DEC,2
BOLAOEN,1,2025,DEC,0
CABARUAN,5,2025,DEC,0
CABULOAN,30,2025,DEC,1
CAMANANG,13,2025,DEC,2
CAMANTILES,27,2025,DEC,0
CASANTAAN,1,2025,DEC,1
CATABLAN,21,2025,DEC,1
CAYAMBANAN,25,2025,DEC,0
CONSOLACION,1,2025,DEC,0
DILAN-PAURIDO,17,2025,DEC,2
LABIT PROPER,20,2025,DEC,4
LABIT WEST,1,2025,DEC,0
MABANOGBOG,14,2025,DEC,1
MACALONG,1,2025,DEC,0
NANCALOBASAAN,19,2025,DEC,0
NANCAMALIRAN EAST,44,2025,DEC,6
NANCAMALIRAN WEST,19,2025,DEC,5
NANCAYASAN,114,2025,DEC,11
OLTAMA,2,2025,DEC,1
PALINA EAST,17,2025,DEC,0
PALINA WEST,3,2025,DEC,0
PT ORATA,10,2025,DEC,1
PINMALUDPOD,50,2025,DEC,4
POBLACION,110,2025,DEC,6
SAN JOSE,15,2025,DEC,3
SAN VICENTE,103,2025,DEC,12
STA. LUCIA,13,2025,DEC,2
STO. DOMINGO,18,2025,DEC,3
SUGCONG,1,2025,DEC,1
TIPUSO,1,2025,DEC,0
TULONG,7,2025,DEC,0
BYPASS,114,2025,DEC,9
TOTAL,893,2025,DEC,83
